world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
56,3.9192050015926356,1,2,0.25,3,1.8979738629781282,-3.964357907955463,0.07965974681652509
57,23.994039165178936,3,0,,3,2.728098624282413,-3.6507231659359403,0.07954237030612098
58,4.369539936979613,1,2,0.28125,3,1.9984326548263676,-3.706361301609727,0.07918492704629898
59,25.53704346338908,3,0,,3,1.6745480199654896,-3.729200541973114,0.07884121127426624
60,26.7621256117026,3,0,,3,1.9203121869460396,-3.93131511107735,0.07866958949876868
61,3.829328638712566,1,2,0.0,3,1.6647614538669586,-3.917911264631483,0.07847856316301557
62,3.4672773823142076,1,2,,3,1.6962355903603814,-4.07798583670096,0.07803397583351894
63,25.844598514636356,3,0,0.2,3,1.684383008480072,-4.347172660827637,0.07752131164073944
64,25.348726103305818,3,0,0.375,3,1.7914670520815357,-4.224813757271602,0.07727503571017035
65,3.366598791281382,1,2,0.125,3,1.809323889017105,-4.734654712677002,0.0771113507449627
66,27.168336557348567,3,0,0.16666666666666666,3,1.843988830978806,-4.597982793240933,0.07691010933470081
67,15.387373296022417,2,1,0.25,3,2.0316368490457535,-4.6372082233428955,0.07665804401040077
68,26.03609699686368,3,0,0.14285714285714285,3,1.272788985779411,-4.860573793712415,0.0764773829202903
69,3.8311926678816497,1,2,0.3,3,1.9283539431435721,-4.8253336361476356,0.07628438217299326
70,-6.088858214616774,0,3,0.3333333333333333,3,2.3424419946968555,-4.909399151802063,0.07610918395221233
71,14.344228825569154,2,1,0.25,3,2.0978870004415513,-4.819987773895264,0.07597912140190602
72,-7.035137503743171,0,3,0.16666666666666666,3,1.9352132515473799,-4.978784864599055,0.0758701420643113
73,13.853891789515814,2,1,,3,2.7986138105392455,-4.804067087173462,0.07579628974199296
74,4.189042967160544,1,2,,3,2.678127197992234,-5.134429772694905,0.07566195123252414
75,13.683179705142976,2,1,0.25,3,2.491379206830805,-4.854715065522627,0.07547959075732665
76,13.542792629996937,2,1,0.5,3,2.8817626278975914,-5.024877071380615,0.0752667024217803
77,24.528460688591,3,0,0.2631578947368421,3,1.8974481916427612,-5.379258165359497,0.07504581570625306
78,3.311411314805349,1,2,0.5,3,3.223499757902963,-5.399740559714181,0.07493238151073456
79,2.7494239928325026,1,2,,3,2.433970548104549,-5.476493565932564,0.07460568834474121
80,3.824762272040053,1,2,0.0,3,2.514714765375939,-5.607637522877127,0.0740552357789399
81,15.373313388029734,2,1,0.0,3,2.3348306894302366,-5.851527849833171,0.07371563414732615
82,25.10910217920939,3,0,0.13333333333333333,3,2.5973221432595026,-5.892524162928264,0.07350862451962062
83,3.2108852402369177,1,2,0.25,3,2.8389282737459456,-6.040789536067417,0.0733051145715373
84,24.64864558041096,3,0,0.3068181818181818,3,2.337099230691288,-6.019202227003119,0.07293288275766908
85,4.645232673486075,1,2,0.2222222222222222,3,2.5308423212596347,-6.393860510417393,0.07257783253278051
86,24.846658244927728,3,0,0.3076923076923077,3,2.428052137879764,-6.479122512480792,0.07243419591994847
87,25.799899571935338,3,0,0.25,3,2.626382718915525,-6.468468044115149,0.07224899983924368
88,24.74182854195436,3,0,0.0,3,2.8990646109861484,-6.75873540429508,0.07210572546019274
89,14.471289243698122,2,1,,3,2.6874266266822815,-6.6589902400970455,0.07198821902275085
90,13.482347019116084,2,1,0.375,3,2.2029486000537872,-6.761303322655814,0.07187097040670258
91,25.74930569966634,3,0,0.625,3,2.774423493941625,-6.778254652023316,0.07173049623767534
92,13.507081107298532,2,1,0.25,3,3.7390465175404266,-6.797840623294606,0.07156009402345209
93,26.568022701938947,3,0,0.3076923076923077,3,3.088662002235651,-6.991873160004616,0.07144269649870694
94,26.0644936645031,3,0,0.1875,3,2.4130456686019897,-7.268951193491618,0.07132270832856497
95,24.899322158892954,3,0,0.2,3,2.5690322077792622,-7.23659376476122,0.07123306749955467
96,25.01069286227226,3,0,,3,3.4785278141498566,-7.181361754735311,0.07112711978455384
97,14.340044019619626,2,1,0.5,3,3.1111604049801826,-7.112734824419022,0.07104608742520213
98,25.139959443012874,3,0,,3,3.082880899310112,-7.406021237373352,0.07093904679641128
99,2.7370172782738997,1,2,0.25,3,2.6830232922847452,-7.4668564062852125,0.07082212830965336
100,-7.996118339101474,0,3,0.0,3,2.9743764125383816,-7.25904552753155,0.07073599501298024
101,3.066609050432842,1,2,0.2,3,2.779245400428772,-7.6028906345367435,0.07067032605409622
102,13.856209224859873,2,1,0.2222222222222222,3,2.9773809396303617,-7.608182591658372,0.0702927980858546
103,-6.71690009733041,0,3,0.25,3,3.0022131204605103,-7.673724800348282,0.0699695935472846
104,24.888838954766594,3,0,0.3333333333333333,3,2.7403928552355086,-7.88574344771249,0.0698549635708332
105,24.99702449083328,3,0,0.0,3,3.03901895682017,-8.222023423512777,0.06974417368570963
106,15.825792154868443,2,1,0.13636363636363635,3,3.157210012962078,-7.907483955909466,0.0695721216756722
107,25.838394565184913,3,0,0.0,3,2.8353803356488547,-8.18379184934828,0.06942383944988251
108,2.389102962017061,1,2,0.16666666666666666,3,3.114315770290516,-8.359425986254656,0.06926996950749997
109,14.343113001982369,2,1,0.5,3,3.4951215982437134,-8.092607123511177,0.06913153880408832
110,2.89146700223287,1,2,0.4,3,3.015867522784642,-8.597701515470233,0.06903664235557828
111,24.202227818965913,3,0,0.29411764705882354,3,2.7406229873498282,-8.530290961265564,0.06893482555945714
112,2.6292135417461395,1,2,0.25,3,2.545384168624878,-8.683695422278511,0.0688741116060151
113,3.203786007960639,1,2,0.0,3,3.7151045731135777,-8.629206780024937,0.0687890276312828
114,27.739126511812213,3,0,0.2,3,3.404904618859291,-8.964722067117691,0.06865069386549294
115,25.38799987634023,3,0,0.5,3,3.2776060700416565,-8.842311024665833,0.06853342677156131
116,25.601002523104352,3,0,0.34782608695652173,3,2.9513437112172443,-8.641833432515462,0.06846809834241867
117,27.42933255672455,3,0,0.4166666666666667,3,3.8943658388577975,-8.805514071537898,0.06821035181100552
118,4.034846246639888,1,2,,3,3.086904186468858,-9.289205991304838,0.06795426801993297
119,4.527888764937718,1,2,0.36666666666666664,3,2.974887998898824,-8.894272613525391,0.06790048331022262
120,24.913514300982158,3,0,0.3333333333333333,3,5.227787017822266,-8.888434955051967,0.06785293029887336
121,26.304341164429985,3,0,0.2857142857142857,3,3.7075077579134987,-9.194340796697707,0.06774974259592238
122,26.489818856318795,3,0,0.5,3,3.6155557242723613,-9.267107037397531,0.06752606438329586
123,24.752381848494213,3,0,0.08333333333333333,3,4.021239772919686,-9.452303917177263,0.06730540961988511
124,3.9434564304351825,1,2,0.35714285714285715,3,3.475283520562308,-9.367777756282262,0.0671790252838816
125,13.69029132843018,2,1,0.5641025641025641,3,3.6591883155764364,-9.496038874801325,0.06692327908715423
126,24.213902318874997,3,0,0.16666666666666666,3,4.850762410597368,-9.326760725541549,0.06658662246032195
127,26.411866120894747,3,0,0.15384615384615385,3,3.7266414735628213,-9.592999416848887,0.06645405357298644
128,3.463177237908045,1,2,0.125,3,3.9905766447385154,-9.524535020192465,0.06633917925258477
129,-8.030834964116414,0,3,0.25,3,4.857619149344308,-9.976202283586774,0.06628063746861049
130,23.67101944923401,3,0,0.3333333333333333,3,4.063843046364031,-9.94218397140503,0.06612854568581832
131,4.051710805892945,1,2,0.16666666666666666,3,3.554057757059733,-9.65096304151747,0.06601276000340779
132,25.28277664581935,3,0,0.4444444444444444,3,4.050695619799874,-10.00517277284102,0.06592592072080482
133,14.879811823765442,2,1,0.3,3,3.966862239620902,-10.080728314139627,0.06563469835303047
134,24.961686730384827,3,0,0.10714285714285714,3,4.484992807561701,-10.295149543068625,0.06534747948700731
135,25.43130397717158,3,0,0.25,3,3.739163977759225,-10.47736340477353,0.06526493387562889
136,2.6207859404881795,1,2,0.5,3,4.232275994200456,-10.552686239543714,0.06517056414955541
137,-6.739824724992116,0,3,0.3333333333333333,3,4.935377809736464,-10.698136117723253,0.065109274453587
138,13.565257619619368,2,1,0.2,3,3.6610161900520324,-10.50213394165039,0.0650471743196249
139,25.281771498123806,3,0,0.25,3,4.162016716496698,-10.6039226795065,0.06489056836942146
140,25.81010150631269,3,0,,3,4.367314247524037,-10.67533131206737,0.06473001070758876
141,14.909801466464998,2,1,0.36363636363636365,3,4.414795504059902,-10.732405973035236,0.06455974835296009
142,25.668624551296237,3,0,,3,4.708238522211711,-10.564118480682373,0.06436063771446546
143,2.93213374932607,1,2,0.5,3,4.718780994415283,-10.634808349609376,0.06419028267264366
144,-4.028236963351563,0,2,0.25,3,4.726959493160248,-11.046922154426575,0.06355589613318444
145,12.848610575397814,2,1,0.14285714285714285,3,4.824869701638818,-11.183971201380094,0.06239372709145149
