world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
1,-24.633392088921443,0,2,0.16666666666666666,3,,,
2,-31.220554702517628,0,2,0.5238095238095238,3,,,
3,-3.8860748355034005,1,2,0.0,3,,,
4,-31.248472744995116,0,3,0.25,3,,,
5,-47.29961776526154,0,1,0.2708333333333333,3,3.9196182719391324,0.9602648952732915,0.19857384815164233
6,10.475861443210452,2,1,0.1935483870967742,3,5.09668500462304,0.936061768428139,0.19648228715295377
7,-7.215949349643321,1,2,0.34210526315789475,3,3.254106338207538,0.8286084028390738,0.19540460178485283
8,-29.186961090472426,0,2,0.14285714285714285,3,4.738013506196439,0.9277753272652626,0.18922483175992966
9,-31.42327605341498,0,3,0.5,3,4.16938914126921,1.0834890015241576,0.1792726072414619
10,-17.769967308176188,1,1,0.36507936507936506,3,3.346646645218134,1.2676686128973962,0.1702442453801632
11,-8.990995053670956,1,2,,3,3.207514725940328,1.3652665950882603,0.16396613754856754
12,-1.1676764748042174,2,1,0.08333333333333333,3,3.174265141456814,1.4123053436225417,0.15862500995902692
13,-22.27112501459455,1,2,0.1,3,2.568101830885444,1.4539836666113894,0.1520925834774971
14,-10.448297112644784,1,2,0.5277777777777778,3,2.564910041326183,1.4742738564135665,0.14705382830510705
15,24.917638360140618,3,0,,3,2.3384609619776406,1.434272860487302,0.14441147446632385
16,21.20585835197217,3,0,,3,2.9849532735101953,1.4362542530925004,0.14219906434570392
17,9.947780903878888,2,1,0.0,3,2.109012854370204,1.363718257708983,0.14007928086952728
18,19.23845305572637,3,0,0.1,3,2.7561954373405095,1.3503665441558474,0.13825158650676408
19,-4.321874650669112,1,2,0.25,3,3.382155044512315,1.397813780741258,0.13665210929783908
20,21.361682601630047,3,0,,3,3.216654893378137,1.3111031760632152,0.1353012350663333
21,7.794787860598014,2,0,,3,2.573518081307411,1.0427993495762349,0.13102994091808795
22,23.18824604779124,3,0,,3,2.5188602611825273,0.9025551616340071,0.12744464624572444
23,24.388672102489338,3,0,0.25,3,2.0968886657997414,0.7853941222031912,0.1261558140869494
24,9.76808946732267,2,1,0.1,3,2.2633145093917846,0.8037097603082657,0.12519802451133727
25,5.693049575369272,2,1,0.2692307692307692,3,2.4740045428276063,0.7227397227829153,0.12424019846049222
26,5.394346760834387,2,1,0.23728813559322035,3,2.7360706137759343,0.5911490863987378,0.12311569920607976
27,-3.545420714804539,1,2,0.1,3,3.920693814754486,0.6036426915841944,0.12251632222357918
28,-3.6720731785326115,1,2,0.5,3,3.1159047170689234,0.6013299889470402,0.12203078442498257
29,-7.369594626100351,1,2,0.5,3,2.8677678135725166,0.5908927442935797,0.12093751441973906
30,-4.7515959527914555,1,2,0.17647058823529413,3,1.7779421955347061,0.6412461698055267,0.11995912281175454
31,-7.923847704337546,1,1,,3,3.3029601222276685,0.490945256203413,0.11734545458108186
32,20.870020144702302,3,0,0.25,3,3.0309689436640057,0.3292583791272981,0.11449813821486064
33,-3.2180073031182395,1,2,0.125,3,2.5234978273510933,0.29657171200960875,0.11387951299548149
34,11.502040825970647,2,1,0.125,3,2.441167547422297,0.15246752386584,0.11347968613400179
35,24.391615929009177,3,0,0.25,3,3.112047512685099,0.07724468458083368,0.11291887418877694
36,21.662220444428097,3,0,0.3333333333333333,3,3.711998926965814,0.0659995710379199,0.11191456974075552
37,10.382504788070475,2,1,0.08333333333333333,3,3.9695708480748264,0.16630258309570226,0.11098893359303474
38,-0.7500101042223116,2,1,0.1388888888888889,3,3.1238128724552334,-0.13321632888345492,0.10953918738024575
39,24.464545068527276,3,0,0.3333333333333333,3,3.0050207555294035,-0.18659941256046295,0.10813794881105424
40,-4.089137395642507,1,2,0.0,3,3.8350213255201067,-0.30772778604711803,0.10777812291468893
41,-5.4159965058285175,1,2,0.75,3,3.8973157037706936,-0.48895513901815696,0.10693501231863219
42,24.704553299009003,3,0,,3,4.821726083755493,-0.5078163672061193,0.10605944373777934
43,-20.786928496799835,0,3,0.14285714285714285,3,4.3088375605069675,-0.3725006030156062,0.10572296954118289
44,23.81237133699118,3,0,0.3,3,4.07341464360555,-0.5330861926906638,0.10540356487035751
45,-2.902550555847121,1,2,0.375,3,3.88808954000473,-0.5702245670557022,0.10497227549552918
46,-4.421125276734357,1,2,0.3888888888888889,3,4.08231720328331,-0.704080980271101,0.10457313759252429
47,23.40706557678332,3,0,0.5,3,4.383931688161996,-0.6911763114424853,0.10378917249349448
48,-3.8794289819512784,1,2,0.0,3,3.8714955284677703,-0.8775971973764485,0.10290701199194481
49,-3.6781684113967863,1,2,0.75,3,3.6712236512791026,-0.8413892713460055,0.10253845900297165
50,26.59565608885148,3,0,0.16666666666666666,3,4.8814981329825615,-1.1124650042864583,0.10215268548457854
51,10.847402620268587,2,1,,3,3.2609879468616687,-1.2671659275105125,0.10168030779612691
52,10.801559186622791,2,1,,3,3.4512181537491933,-0.6537908113428524,0.10135544038244657
53,-4.720201754605256,1,2,0.5,3,4.332518577575684,-0.8966934333244959,0.10111452825367451
54,25.33443931757129,3,0,,3,3.1711251974105834,-1.2605000257492065,0.10079879522323608
55,25.10697080247091,3,0,0.375,3,5.298984107218291,-1.4951434864809638,0.10041178135495436
56,24.73712950243666,3,0,0.5,3,5.104343149720169,-1.5013567456384984,0.09989120284231698
57,-1.580307438920303,2,1,,3,4.294383045102729,-1.8410687032944517,0.09806821173657485
58,-6.38544624844009,1,2,0.25,3,4.28490558792563,-1.9188527982024586,0.09623502435929635
59,25.241007996358622,3,0,,3,4.6420440673828125,-1.884461448742793,0.09569126654129761
60,10.503216283088454,2,1,0.2857142857142857,3,5.114571473177741,-2.055585966390722,0.09549034956623526
61,24.09829320035392,3,0,0.23076923076923078,3,5.415592250071074,-2.196496932130111,0.09526418188684865
62,-4.851666995457414,1,2,0.0,3,4.815506378809611,-2.307993549108505,0.09493526717027029
63,25.113458515819797,3,0,0.0,3,4.4987841154399675,-2.1826864857422676,0.09460370830799404
64,-4.136379139305078,1,2,0.1,3,5.781158020099004,-2.4375351468722024,0.0943943231056134
65,24.87900720152319,3,0,0.5,3,6.658735677599907,-2.3147600889205933,0.09421150898560882
66,-6.64487006217409,1,2,0.2894736842105263,3,5.184288771528947,-2.723141080454776,0.09398647672251652
