world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss
1,-7.176139833826092,0,3,0.16666666666666666,3,,
2,-6.211317442916484,0,3,0.3181818181818182,3,,
3,-4.4305074720620174,0,3,0.25,3,,
4,-6.109330010593541,0,3,0.125,3,,
5,9.26437577001503,1,0,0.6666666666666666,3,,
6,-3.201666241792225,0,2,0.22727272727272727,3,,
7,-4.868229180357036,0,3,0.2777777777777778,3,,
8,6.3039914659374565,1,2,0.5,3,1.8801762971740503,-0.4576635177318866
9,-7.80150317222289,0,3,,3,1.9612805694937705,-0.49133402669429777
10,-5.400033790403992,0,3,0.08333333333333333,3,1.484117051627901,-0.5591599212752448
11,-6.5388485952518325,0,3,0.0,3,1.3304080183635343,-0.7111212566213788
12,-7.127056491331341,0,3,0.75,3,1.3179511817134157,-0.8544189686677894
13,-7.440183154785127,0,3,0.2830188679245283,3,1.2173473425209522,-0.8456768564441625
14,-5.472314818516634,0,3,0.3076923076923077,3,0.950830716477788,-0.7579177494930185
15,-6.972807885226584,0,3,0.07142857142857142,3,0.9030895503237844,-0.8935332465916872
16,-6.654794538561816,0,3,0.5833333333333334,3,0.9748006541345079,-0.8731643446421219
17,-7.7391716047605215,0,3,0.75,3,0.9648551074106518,-0.8299252223677751
18,-5.251945335751317,0,3,0.34782608695652173,3,0.7659933617984762,-0.8203399737878722
19,7.004386242464245,1,2,,3,0.7836243527439924,-0.7836824965018493
20,6.993877509850196,1,2,,3,0.9689860412707696,-0.8559019840680636
21,7.170596992220035,1,2,,3,0.9561769866517612,-1.019354637180056
22,7.2114988580994215,1,2,,3,1.0602006930857897,-0.9065826882918676
23,7.084335162698132,1,2,,3,1.1099651203207348,-1.0169283566267595
24,6.956294167268772,1,2,,3,1.0939692454091434,-1.033917940896133
25,-5.23176668935187,0,3,0.5,3,1.1014941247372791,-1.0460890089643413
26,18.235266485013728,2,1,0.4166666666666667,3,1.0428525544703007,-1.2116643831133842
27,7.063271986755464,1,2,0.325,3,1.0032534558326005,-1.2838820569217204
28,17.922463256438718,2,1,0.4074074074074074,3,0.9427087968215346,-1.376299220137298
29,18.188978042808614,2,1,0.32142857142857145,3,1.061287985335697,-1.5042933388189836
30,29.34953858354145,3,0,0.3333333333333333,3,0.9314219695718392,-1.615663178589033
31,29.586200007123193,3,0,0.5,3,0.8774003656405323,-1.698012576912934
32,29.47398528738479,3,0,0.5,3,0.8610378101065352,-1.9212906521719855
33,29.60482129074718,3,0,0.5,3,0.9413346136227633,-2.0477539209219127
34,29.57952380258786,3,0,,3,0.9608930980271482,-2.1201605796813965
35,29.615069156897885,3,0,0.5,3,0.7761503291130066,-2.3074812364578245
36,29.55484821868427,3,0,0.25,3,0.8247279771443071,-2.473950912212503
37,29.753906102138913,3,0,0.5,3,0.7410825788974762,-2.5045197628162525
38,29.511773734969832,3,0,1.0,3,1.0025163839260738,-2.5812986294428506
39,16.99796092487675,2,1,,3,0.9665680468082428,-2.764201703071594
