episode,score,steps,result
280,-4.585098627331075,36,collision
281,-6.410736354854414,190,collision
282,-6.325638891742969,187,collision
283,3.4750637001252027,200,timeout
284,-4.393366842333877,35,collision
285,3.578830408958159,200,timeout
286,3.546462798320275,200,timeout
287,3.6972396252290896,200,timeout
288,3.6211330724587567,200,timeout
289,4.196487371751953,200,timeout
290,30.11705642201849,93,goal
291,-5.197473497255004,136,collision
292,29.965315207331585,90,goal
293,-7.232581132809617,184,collision
294,1.4192542048491055,200,timeout
295,7.095480213403985,200,timeout
296,-7.454777939651923,199,collision
297,-6.358954729326402,121,collision
298,-8.922918164339086,193,collision
299,-9.439262498678264,184,collision
300,-0.16406983954971965,200,timeout
