world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-8.03465424032764,0,0,0.1111111111111111,3
2,-6.414918458357145,0,0,0.07142857142857142,3
3,-3.853931058919484,0,0,0.1,3
4,-7.546136484040559,0,1,0.13636363636363635,3
5,-5.076406028401867,0,0,0.06493506493506493,3
6,-5.510878893523866,0,0,0.125,3
7,-4.625155437977938,0,0,,3
8,-3.86668137766435,0,0,0.0,3
9,-5.927307541514092,0,0,0.125,3
10,-2.5542322543404397,0,0,0.16666666666666666,3
11,0.5240104330849794,0,0,0.22727272727272727,3
12,-5.204560354837813,0,1,0.23076923076923078,3
13,-7.8366307043675425,0,1,0.0,3
14,6.660088243044934,1,0,0.4166666666666667,3
15,-4.265686862890074,0,0,0.3076923076923077,3
16,6.820869824043405,1,0,0.21428571428571427,3
17,8.679558768515264,0,0,,3
18,1.0330514083214648,0,0,0.25,3
19,-6.1035780808388544,0,1,0.2222222222222222,3
20,17.614111620662218,1,0,,3
21,15.860991102118945,1,0,,3
22,6.976384263565222,1,0,0.2727272727272727,3
23,-2.419189708710758,0,0,,3
24,17.1886996329537,0,1,0.32142857142857145,3
25,5.674826976433398,1,0,0.2727272727272727,3
26,6.051929320033321,1,0,0.2619047619047619,3
27,28.70338080352038,1,0,0.2,3
28,-5.495986180489379,0,1,0.21428571428571427,3
29,28.12541616984311,1,0,0.5,3
30,17.18559399107964,1,0,0.33125,3
31,-2.651071915949162,0,0,0.273972602739726,3
32,28.44453750385888,1,0,0.3611111111111111,3
33,27.807453767639533,1,0,0.3617021276595745,3
34,19.95947591904169,0,0,0.22807017543859648,3
35,15.579502036225952,1,0,0.3,3
36,15.645592775608153,0,1,0.2692307692307692,3
37,-5.127822676569914,0,1,0.32857142857142857,3
38,-5.4367876539206295,0,1,0.3787878787878788,3
39,7.137302981206815,1,0,0.4,3
40,5.772560723677393,1,2,0.1,3
41,-6.313280083554076,0,1,0.2916666666666667,3
42,15.950422076674585,0,1,0.2826086956521739,3
43,-6.042942023480343,0,1,0.25,3
44,28.441645951435607,1,0,0.25396825396825395,3
45,20.03471538042905,0,0,0.36363636363636365,3
46,5.608595552466596,1,0,0.4246575342465753,3
47,28.570653386870344,1,0,0.3068181818181818,3
48,-6.039831169554919,0,1,0.32051282051282054,3
49,-5.465248531711134,0,1,0.3,3
50,-5.130333806138654,0,1,0.3709677419354839,3
51,-4.96997035900037,0,1,0.21875,3
52,28.921307149274828,1,0,0.3516483516483517,3
53,6.249163144987918,1,0,0.2608695652173913,3
54,-4.9341698949069155,0,1,0.21153846153846154,3
55,-3.592987928671146,0,1,0.2357142857142857,3
56,-0.8513357698941607,0,0,0.3333333333333333,3
57,4.846957461062252,1,0,0.3333333333333333,3
58,6.010062969804399,1,0,0.3888888888888889,3
59,6.543008773289867,1,0,0.29850746268656714,3
60,7.378136769042594,1,0,0.26785714285714285,3
61,-4.632493057746892,0,1,0.27631578947368424,3
62,-5.84229550735467,0,1,0.2916666666666667,3
63,-3.701323267447911,0,2,0.3333333333333333,3
64,7.433196043525967,1,0,0.14285714285714285,3
65,17.816558983241944,0,1,0.16911764705882354,3
66,17.907662529780506,0,1,0.25903614457831325,3
67,6.636067257018161,0,0,0.22641509433962265,3
68,-3.833174235610047,0,2,0.34210526315789475,3
69,17.877632767470974,0,1,0.32142857142857145,3
70,21.284713060005227,0,0,0.28,3
71,20.644628073412743,0,0,0.2972972972972973,3
72,17.285339174667403,1,0,0.36666666666666664,3
73,4.745772185113984,1,0,0.25,3
74,28.546619669946697,1,0,0.25,3
75,21.42819878306175,0,0,0.2833333333333333,3
76,28.620038576332686,1,0,0.26,3
77,28.977624213780597,1,0,0.32608695652173914,3
78,7.681358005017175,0,2,0.08333333333333333,3
79,21.481444450189098,0,0,0.2,3
80,28.809311139489107,1,0,0.3,3
81,28.88220824993047,1,0,0.375,3
82,6.196470629026771,1,0,0.42857142857142855,3
83,-4.028307282232644,0,2,0.2619047619047619,3
84,-5.4825388843945335,0,1,0.38,3
85,-4.692889031804277,0,1,0.2,3
86,6.02959183985423,1,0,0.4666666666666667,3
87,29.07004710024697,1,0,0.3392857142857143,3
88,17.683594059453075,1,0,0.2545454545454545,3
89,29.27020684469012,1,0,0.3,3
90,-6.076857584835856,0,1,0.25,3
91,17.749394562764394,1,0,0.23529411764705882,3
92,29.049977834867537,1,0,0.3548387096774194,3
93,6.226813174703587,1,0,0.3,3
94,29.073583240681018,1,0,0.18421052631578946,3
95,17.21037872824056,1,0,0.22727272727272727,3
96,29.076234576760815,1,0,0.14285714285714285,3
97,5.526087094733346,1,0,0.15384615384615385,3
98,6.481005577821237,1,0,0.3,3
99,16.718380281036552,1,0,,3
100,29.17298009202697,1,0,,3
101,-6.560557578674256,0,1,,3
102,29.07848529108502,1,0,0.375,3
103,-4.753864616587421,0,1,0.32142857142857145,3
104,17.734807019502114,1,0,0.32608695652173914,3
105,29.09569770625671,1,0,,3
106,-4.626917273329121,0,1,0.41935483870967744,3
107,-5.365146547889979,0,2,0.42857142857142855,3
108,16.701289061076462,1,0,0.4,3
