world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss
1,-24.633392088921443,0,2,0.16666666666666666,3,,
2,-31.220554702517628,0,2,0.5238095238095238,3,,
3,-3.8860748355034005,1,2,0.0,3,,
4,-31.248472744995116,0,3,0.25,3,,
5,-46.75524539962751,0,1,0.2708333333333333,3,4.004080770780211,0.3713871576701817
6,-49.47449683063078,0,0,0.5420792079207921,3,2.8878897295519708,0.2773333758674562
7,-40.82496496718796,0,1,,3,1.2575265573337675,0.42578512243926525
8,-17.45851005109947,1,1,,3,0.9314252019301057,0.49908701434731484
9,-12.607875422873851,1,1,,3,0.8886497123911977,0.5340034417808056
10,-24.619688426955793,0,3,0.4117647058823529,3,0.93003370399986,0.5615655311516353
11,-26.32109860404128,0,3,0.4,3,1.3373757925061953,0.6810746915065325
12,-9.907223263376842,1,2,,3,1.3273564890647929,0.787381124165323
13,-31.40827114093599,0,3,0.4074074074074074,3,1.3135845777514863,0.7517330582077438
14,-24.596767318583748,0,3,0.5,3,1.0902833043783904,0.8215065437555313
15,-15.432349600655307,1,2,,3,1.269226844913216,0.8756989318391551
16,-11.73863995009181,1,2,0.25,3,1.444984035311843,0.8377722463437489
17,4.762244854836173,2,1,0.35714285714285715,3,1.6710550224376937,0.9004064099542026
18,-16.757828752329207,1,2,0.25675675675675674,3,1.4369631561495009,0.8560256648738429
19,-5.71118838468782,2,1,0.3142857142857143,3,1.3669070751727128,0.8910304853471659
20,-13.03178706804662,1,1,,3,1.1761053866893052,0.9822258946299552
21,-36.66918331277262,0,2,0.125,3,1.0356613060086965,1.0406645584106444
22,24.135399407267368,3,0,0.0,3,1.0846031499760491,1.060795179435185
23,-15.737229241569182,1,2,0.08333333333333333,3,1.3751260990999183,0.9552132548118124
24,7.6720135308269635,2,1,0.3076923076923077,3,1.44438309861081,0.8189192158835275
25,-22.04371189850684,0,2,0.23076923076923078,3,1.1806318509578704,0.9330089251697063
26,10.851838238458393,2,1,0.0,3,1.0758001683531582,0.9215429613464757
27,-5.269597439561793,1,2,0.125,3,0.8736756123878338,0.9237621472432063
28,-25.74180735457861,0,3,0.2708333333333333,3,1.2974541187286377,0.9254644167423248
29,23.09563851776042,3,0,0.16666666666666666,3,1.1834181571006774,0.8292575838665167
30,21.838094006727317,3,0,0.2857142857142857,3,1.4155846902302334,1.0012734433015187
31,9.551433581880744,2,1,,3,1.230430849811487,0.8058535823864597
32,15.783094460799967,3,0,0.1875,3,1.4429432595929792,0.9054436715359383
33,5.906241183598147,2,1,0.5,3,1.350641917851236,0.8607205936892165
34,-5.499475918225142,1,2,0.1111111111111111,3,1.1883762220541636,0.9306114741734096
35,-3.9072464307628834,1,2,0.2857142857142857,3,1.5726381586148188,0.549432071355673
36,10.252494421167077,2,1,0.19230769230769232,3,1.4937526111801465,0.9629881978034973
37,23.433432799763874,3,0,0.05,3,1.855500354653313,0.7276474975404286
38,5.989036342093882,2,1,0.125,3,1.7465925916117064,0.7257478976249695
39,22.63633277090484,3,0,0.16666666666666666,3,1.4661436325973936,0.6127187995748087
40,-4.356313410312637,1,2,0.2,3,1.2931951788755565,0.613796306507928
41,9.689094689879509,2,1,0.1111111111111111,3,1.1456552732449312,0.4392449041971794
42,23.98578229114766,3,0,,3,1.614303616185983,0.6539311309655508
43,22.870967112268747,3,0,0.125,3,1.7759558549949102,0.5907056309721049
44,-5.13958586215156,1,2,0.25,3,2.2670802341567144,0.8250123858451843
45,-14.880950017064086,1,1,0.32142857142857145,3,1.7501021984219551,0.41838387712836267
46,-3.825370742817688,1,2,0.3125,3,1.2407545880837874,0.33883967697620393
47,10.351906450260248,2,1,,3,1.457356456762705,0.4120567090809345
48,10.766918665708793,2,1,,3,1.682815222513108,0.29903562888503077
49,22.721882217546376,3,0,0.32,3,1.8676435969494007,0.27186034460152897
50,24.536570980573234,3,0,,3,1.8382063751157962,0.24975647894959702
51,9.947159236329801,2,1,0.3333333333333333,3,1.765344442390814,0.20698410719633104
52,7.976635790216602,2,1,,3,1.9248757857387349,0.11422333245476086
53,-4.953787939152124,1,2,0.0,3,1.3903519000325884,-0.03734097878138224
54,25.296074449078315,3,0,,3,2.534068865435464,-0.08747831625597817
55,-4.679092947150626,1,2,0.5,3,2.305484560402957,0.09637167553106944
56,-3.5226700285411794,1,2,0.5,3,2.8200974356044424,0.09748697280883789
57,19.497505284412835,3,0,0.0,3,1.866277014836669,-0.19638979295268655
58,10.507960668378713,2,1,0.0,3,1.9141992661688063,-0.10710712108347151
59,9.521868587900508,2,1,,3,1.6710293310192914,-0.2402963976447399
60,-17.20810143016907,0,3,0.16666666666666666,3,2.1303807139396667,-0.09201925992965698
61,24.82059831232853,3,0,0.2,3,2.2059463319324313,-0.2250612283294851
62,-4.169266457780537,1,2,0.25,3,1.8852509714308239,-0.3566102936863899
63,10.52599712843436,2,1,,3,1.8726405812346416,-0.22117706139882407
64,-4.194701494030402,1,2,0.4,3,1.9590723365545273,-0.3919403577844302
65,-4.578776614994562,1,2,0.2857142857142857,3,2.6882603665192923,-0.3069554070631663
66,5.829213984622753,2,1,0.3333333333333333,3,2.0993607391913733,-0.3687326941225264
67,-15.698213668856042,1,1,0.3142857142857143,3,2.088048365712166,-0.48303095184266565
68,24.997687902651816,3,0,0.4166666666666667,3,2.0791914953904995,-0.47460036911070347
69,24.469622272139617,3,0,0.5555555555555556,3,2.0981887062390645,-0.7209827984156816
70,10.259978272447853,2,1,0.16666666666666666,3,2.0628325045108795,-0.48157400720649296
71,10.234988544856852,2,1,0.5,3,1.84869588414828,-1.0669792592525482
72,23.185156979433327,3,0,0.2765957446808511,3,1.9737839259599383,-0.7868451707892947
73,10.13409283251713,2,1,,3,2.4554383158683777,-0.8115847826004028
74,-4.087336305507137,1,2,0.42857142857142855,3,2.313031357877395,-0.45904900547530914
75,-6.140173886955075,1,2,0.13333333333333333,3,1.9226929793755214,-0.7652411982417107
76,9.255008417860713,2,1,0.0,3,2.0518573423226676,-0.3944142162799835
77,22.934992835918084,3,0,0.2777777777777778,3,2.5475869841045804,-0.8063756492402818
78,11.36553662282706,2,1,0.0,3,2.4507937729358673,-0.9040931658819318
79,10.803777371903573,2,1,0.0,3,3.0674111545085907,-0.8026705930630366
