world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss
1,-9.29985924780773,0,2,0.3333333333333333,3,,
2,-4.76918902938583,0,0,0.38461538461538464,3,,
3,-1.3143726307650787,0,0,0.25,3,,
4,5.405303817813729,1,0,0.4375,3,,
5,-8.742029461980893,0,2,0.5925925925925926,3,1.4514864853654916,0.1482569778767916
6,-6.134026703917818,0,0,1.0,3,1.0899355670250952,0.2505223281681538
7,-8.913482124963402,0,1,0.5,3,0.6183954698118297,0.29592521559083607
8,-8.519032014073654,0,2,0.5581395348837209,3,0.5389457773417234,0.3335457564228111
9,-7.223414242949537,0,3,0.3888888888888889,3,0.7015383313099544,0.3893589098006487
10,-6.571886735512869,0,1,0.23684210526315788,3,0.5605761991416822,0.3617123067378998
11,-7.7760539956786845,0,2,0.527027027027027,3,0.6642568535778833,0.3503803986570109
12,-4.096456691433457,0,0,,3,0.6759268416836858,0.36087680906057357
13,-5.895358632217367,0,1,0.16666666666666666,3,0.5676185229420662,0.3310384577512741
14,-5.5691296790407465,0,1,0.32558139534883723,3,0.5175806466261101,0.29580339178856874
15,-5.6525153015761616,0,1,0.09259259259259259,3,0.42020321965634405,0.28882677958045205
16,-2.3683781160092345,0,0,0.16,3,0.3960635909438133,0.24819398706778883
17,-1.9305735247922264,0,0,0.1417910447761194,3,0.352423030603677,0.21329238303005696
18,-1.7601717843158946,0,0,0.21428571428571427,3,0.29687174074351785,0.17985753359273077
19,10.06827176756431,0,0,0.3068181818181818,3,0.27585065895691513,0.1435282507352531
20,5.622246622947849,0,1,0.28735632183908044,3,0.34886550002818484,0.09729876914726836
21,17.591168731701423,1,0,0.2647058823529412,3,0.41188056083588764,0.013509597474088272
22,-5.283404628087972,0,2,0.25,3,0.40463897454388004,0.08738880935642454
23,6.578837584288007,0,2,0.32142857142857145,3,0.6848691685332192,-0.10305617915259467
24,-4.727360270798628,0,1,0.2,3,0.4154668633233417,-0.023813579062169247
25,21.75312778989499,0,0,0.391304347826087,3,0.5586931419745088,-0.1510404129885137
