episode,score,steps,result,critic_loss,actor_loss
74,30.60973161948047,20,goal,0.7046492371708155,-2.35126930475235
75,30.745856107243405,21,goal,0.4301825151557014,-2.3077037767930464
76,30.53938761730749,23,goal,0.628828966099283,-2.3227194981141523
77,30.966064904574033,25,goal,0.5971522474288941,-2.566293954849243
78,30.843124571249245,20,goal,0.5602848708629609,-2.544853115081787
79,30.565560747200266,20,goal,0.6421624094247818,-2.705956959724426
80,30.614713201178816,19,goal,0.43689674531158645,-2.7846559153662787
81,30.753344787168245,26,goal,0.5398983382261716,-2.834750432234544
82,30.8823564342032,27,goal,0.42605648520920014,-2.9750663552965437
83,30.732081083087273,19,goal,0.3857203941596182,-2.9479084279802112
84,30.805840474221245,23,goal,0.38315155259940936,-2.8404558300971985
85,30.702705580158444,26,goal,0.4826154697399873,-2.943315029144287
86,30.825867815707845,22,goal,0.4684129154140299,-3.1094702157107266
87,30.61209161304314,20,goal,0.47449352517724036,-3.192846727371216
88,30.523150981445966,20,goal,0.3754730299115181,-3.3706565618515016
89,30.574087017016165,20,goal,0.4897751025855541,-3.615748906135559
90,30.722126965996377,23,goal,0.5111744329333305,-3.322095372460105
91,30.682316688098936,19,goal,0.470603200165849,-3.4209913492202757
92,30.71400657238866,19,goal,0.3887013863576086,-3.3551430702209473
93,30.933854496922326,22,goal,0.5069217410954562,-3.7344518141313032
94,30.923503884100835,20,goal,0.5042212132364512,-3.800003099441528
95,30.742532953042883,25,goal,0.5960481137037277,-3.9888180769406834
96,30.601660756349546,27,goal,0.4976513783137004,-3.7983979995434103
97,30.626005066183772,22,goal,0.5057290230285038,-3.897372939369895
98,30.713568973523955,22,goal,0.4732993109659715,-3.9408967711708764
99,30.893385853345166,20,goal,0.46683034375309945,-3.654354429244995
100,30.65380707545222,23,goal,0.4799873223123343,-3.8538738489151
101,30.63564248794087,27,goal,0.3422240686637384,-4.1604225268730755
102,30.572535205007874,19,goal,0.34342398768977117,-4.3344207286834715
103,30.819334663543465,27,goal,0.4495070204138756,-4.365685499631441
104,30.611168980261375,29,goal,0.37691211957356024,-4.199661064147949
105,30.920374701681304,19,goal,0.3749380656763127,-4.46714022424486
106,30.736375575822407,24,goal,0.34875370437900227,-4.345674971739451
107,30.698505657993586,31,goal,0.4055914737043842,-4.7258718609809875
108,30.71428587894409,19,goal,0.3239633448814091,-4.537840472327338
109,30.84884785863428,22,goal,0.46665486456318334,-5.117856719277122
110,30.526671478161322,19,goal,0.34161193315920074,-4.682600402832032
111,30.686385917297816,28,goal,0.44275649823248386,-5.149640083312988
112,30.644459038931366,21,goal,0.5043302763785634,-4.991381454467773
113,30.770974336623425,20,goal,0.3974083423614502,-4.931051731109619
114,30.662664812546108,19,goal,0.26114198408628764,-5.209027433395386
115,30.538374711506584,20,goal,0.541110510379076,-4.9168181896209715
116,30.531187847151795,19,goal,0.4863356461650447,-5.010274675157335
117,30.745305195593673,26,goal,0.45088491244957996,-5.347025541158823
118,30.50933830870479,22,goal,0.38446933877739037,-5.260726105083119
119,30.722611420111306,20,goal,0.3613046184182167,-5.470282316207886
120,30.541552608206118,27,goal,0.4100468580921491,-5.47448113986424
121,30.87187149598924,22,goal,0.4416672120040113,-5.358870506286621
122,30.844391728469006,20,goal,0.32647123746573925,-6.007626581192016
123,30.906130199535543,21,goal,0.4847854411318189,-5.678405380249023
124,30.822233217306877,19,goal,0.5606112433107275,-5.926412153244018
125,30.59416443374615,25,goal,0.5465820640325546,-5.59761377175649
126,30.868527265709638,20,goal,0.3893462307751179,-5.948842763900757
127,30.831315707331026,23,goal,0.3871823270683703,-5.802134990692139
128,30.526863871792763,23,goal,0.3620333201859308,-6.183467301455411
129,30.707480394756992,20,goal,0.4149956703186035,-6.320905590057373
130,30.611937269407502,19,goal,0.47127695891417953,-6.230250597000122
131,30.672942464877856,21,goal,0.3791329317859241,-6.521566152572632
132,30.697255266007243,26,goal,0.42009442872726,-6.378383343036358
133,30.631694638976732,20,goal,0.4783760108053684,-5.782400274276734
134,30.808126663945067,24,goal,0.3282085306321581,-6.4979011217753095
135,30.810924819570626,20,goal,0.35783363319933414,-6.593400287628174
136,30.5974349927435,19,goal,0.3472141788194054,-6.411995840072632
137,30.804584081334617,24,goal,0.4814566858112812,-6.487545371055603
138,30.60622953228306,23,goal,0.4353254074635713,-7.044610370289195
139,30.733662528887873,20,goal,0.28991617672145364,-6.957449102401734
140,30.550418128983292,23,goal,0.4268417960923651,-6.719568689664205
141,30.613053476862444,21,goal,0.43104078549714314,-6.915219926834107
142,30.504506454596566,24,goal,0.41571178659796715,-7.085347771644592
143,30.534006825175503,22,goal,0.5364992378110235,-7.073695616288618
144,30.51571980212446,26,goal,0.3512525913807062,-6.854084711808425
145,30.499246342126845,24,goal,0.44003373632828396,-7.524388313293457
146,30.546736056657487,24,goal,0.32062278284380835,-7.513086994489034
147,30.38791649633294,38,goal,0.3553457785593836,-7.536134519075093
148,30.545203290615373,26,goal,0.5299353404687002,-7.565116845644438
149,30.757276138226345,20,goal,0.37205530107021334,-7.873123264312744
150,30.62208681585789,19,goal,0.41201723249335037,-7.579698276519776
151,30.792648710212767,20,goal,0.3737834706902504,-7.889497423171997
152,30.502173069739463,23,goal,0.37585800821366516,-7.3600616888566455
153,30.701278812458725,22,goal,0.31728754057125613,-7.926113952289928
154,30.76888908902415,21,goal,0.46254547827300574,-7.62637506831776
155,30.60916063480951,19,goal,0.34748447019802897,-7.688016467624241
156,30.7464564197888,20,goal,0.3373595252633095,-8.300252914428711
157,30.604875625344434,20,goal,0.3738385170698166,-7.865882825851441
158,30.695753078968185,20,goal,0.5224700544029475,-7.902787971496582
159,30.59786552784729,28,goal,0.42224334446447237,-8.112176282065255
160,30.527263855367664,27,goal,0.5060959742576988,-8.444788421903338
161,30.461018061280775,30,goal,0.48581193188826244,-8.372340552012126
162,30.6056631427862,23,goal,0.288369357585907,-8.634428544477982
163,30.464243965256955,27,goal,0.3027857202622626,-8.641772406441826
164,30.650235181042806,20,goal,0.3659487560391426,-8.623597621917725
165,30.533263362593253,27,goal,0.346377318656003,-8.561924567589394
166,30.575631904316744,20,goal,0.44677142798900604,-9.168964290618897
167,30.57664277810768,20,goal,0.518759512156248,-8.906251811981202
168,30.613173487005668,21,goal,0.4391040049848102,-8.938980449329723
169,30.51736528480197,21,goal,0.4687725128162475,-9.055392360687256
170,30.549902831816958,20,goal,0.656915870308876,-9.006857299804688
171,30.512372724828445,24,goal,0.39930370822548866,-9.085569699605307
172,30.618877044265666,20,goal,0.3762800361961126,-9.636463165283203
173,30.528999591985627,19,goal,0.5244877722702528,-9.3601393699646
174,30.5437310580622,21,goal,0.35624416917562485,-9.839227390289306
175,30.57079708348619,23,goal,0.44673604453387467,-9.66048781077067
176,30.554676956855992,19,goal,0.5468084302387739,-9.241928524441189
177,30.53120240142635,24,goal,0.4780691262955467,-9.339991887410482
178,30.649983497732737,21,goal,0.45387751928397585,-9.459290504455566
179,30.779563497298135,20,goal,0.4897949606180191,-9.601599407196044
180,30.604605530167113,19,goal,0.40150098345781626,-10.066874716016981
181,30.602440146005513,23,goal,0.9909874459971553,-9.807502349217733
182,30.70275164698576,19,goal,0.5123628142632937,-9.859115388658312
183,30.517244379156725,25,goal,0.38328745603561404,-10.237575971163237
184,30.50345821226211,25,goal,0.583904093503952,-10.15607746442159
185,30.534624354196133,19,goal,0.4396591013983676,-10.069342136383057
186,30.602237150088897,19,goal,0.4194689785179339,-10.072223133511013
187,30.613188124988092,23,goal,0.4647583047980848,-10.434162855148315
188,30.69740581846431,22,goal,0.32020469721068034,-10.278805299238725
189,30.759128881505383,19,goal,0.3764517495506688,-10.055001576741537
190,30.613899620828466,20,goal,0.5261521261185408,-10.388208770751953
191,30.395785408400442,37,goal,0.43063338241867116,-10.340126137984427
192,30.496102728435538,26,goal,0.3712980007896057,-10.847252552325909
193,30.524890284953564,22,goal,0.37003920430486853,-10.78476637059992
194,30.574544399522637,21,goal,0.3325185499020985,-10.461909866333007
195,30.490621118312607,26,goal,0.3354945475092301,-10.45769449380728
196,30.473511552146256,26,goal,0.3868875469152744,-11.29406892336332
197,30.642594335524233,20,goal,0.35362105295062063,-10.898772621154786
198,30.503029393590325,26,goal,0.44301097009044427,-11.360354863680326
199,30.738225095720423,20,goal,0.34317989349365235,-11.138354301452637
200,30.524035980169067,26,goal,0.44188418411291563,-11.188709919269268
201,30.57927485456998,19,goal,0.35493747144937515,-11.632038784027099
202,30.777446084335295,19,goal,0.3622079424952206,-11.180145899454752
203,30.63630085233143,20,goal,0.34080945327878,-11.322457122802735
204,30.488769660116127,25,goal,0.39669847100973127,-11.38520336151123
205,30.540851727028425,20,goal,0.7092671185731888,-11.72707576751709
206,30.552686371158266,23,goal,0.3435264521318933,-11.58571988886053
