world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss
1,-18.614668036977992,0,3,0.16666666666666666,3,,
2,-17.85506549739482,0,3,0.3181818181818182,3,,
3,-16.999685321306305,0,3,0.25,3,,
4,-17.98064310820263,0,3,0.125,3,,
5,-21.04052901527007,1,0,0.6666666666666666,3,,
6,-25.49706704621396,0,2,0.22727272727272727,3,,
7,-16.57467654477176,0,3,0.2777777777777778,3,,
8,-4.7761552270675836,1,2,0.5,3,6.880639250623062,0.32405914715491235
9,-26.365082112038575,0,3,,3,6.393241925000334,0.36152416528904274
10,-29.72631181736349,0,3,,3,4.283776651262431,0.44862530169052045
11,-26.29880268385556,0,3,0.4666666666666667,3,3.3437268322164364,0.4616838129503386
12,-22.117475302029074,0,3,0.5,3,3.138414844258191,0.5080578884937696
13,-19.153232510843953,1,2,0.234375,3,2.841528264391753,0.5278955616781281
14,-20.861470703740416,0,3,0.75,3,2.5174234977790286,0.6374744602612087
15,-27.51610767236154,0,3,0.3557692307692308,3,1.9549056816456922,0.5960183958796894
16,-23.675269293159147,0,3,0.75,3,2.220241838998168,0.7176985010942992
17,-19.974679538635385,0,3,0.5,3,2.141944421963258,0.776406968859109
18,-26.072148177055823,0,3,0.3333333333333333,3,2.320969707635512,0.7065995257525217
19,-20.245776978237704,0,3,0.16666666666666666,3,2.4579134203385617,0.7937340929227716
20,-6.25887507790484,1,2,0.42857142857142855,3,2.201445197517222,0.6823753888408343
21,-9.56691902599596,1,2,0.0,3,2.193822137240706,0.7219911129637198
22,-22.156294357710507,0,3,0.8787878787878788,3,2.08322498411463,0.7711835759026664
23,-7.3617703824485785,1,2,0.1891891891891892,3,2.2353312969207764,0.7647565239005618
24,-1.991035025336296,1,2,0.0,3,2.042394450930662,0.7143782575925192
25,-4.393057977604479,2,1,0.3125,3,2.399100589677223,0.7724974049255252
26,-3.575372741128182,1,2,0.75,3,2.0821881100938127,0.8958197865221236
27,-3.420111871689889,1,2,0.8888888888888888,3,1.6823493379193384,1.0260447232346785
28,-3.5401749910356863,1,2,0.8571428571428571,3,2.3147190494196757,0.9692937205819523
29,-3.7497074182916506,1,2,0.625,3,2.026215880257743,0.9414753218491873
30,-8.460406205322807,1,2,0.921875,3,1.8892615984624892,1.0878935596256545
31,-22.502794290328342,0,3,0.6440677966101694,3,2.1564527559280395,1.1037613904476167
32,-22.050862193294552,0,3,0.46551724137931033,3,1.9452465452529766,1.2773909866809845
33,14.18784591244914,2,1,,3,2.12426607131958,1.1060682165508087
34,-0.6291729415517295,1,2,,3,2.461214161836184,1.1793769001960754
35,14.180440402493849,2,1,,3,2.306574321311453,1.3551382693377407
36,-3.1186318154647985,2,1,,3,2.071134595593936,1.1409707258284931
37,28.628489688266413,3,0,0.3333333333333333,3,2.0486028250306845,1.2538491748273373
38,-0.8545584257426846,2,1,,3,1.7971795951382499,1.1389629035518412
39,28.66773343257677,3,0,,3,1.519446319112411,0.9659388936482943
40,28.5384989046738,3,0,0.25,3,1.5838109254837036,1.0385205974945655
41,5.9597624657305515,2,1,0.16666666666666666,3,1.5079565696418284,1.0768410677711169
42,-12.86737426751784,1,2,0.2777777777777778,3,1.5969458353388442,1.0847528335120944
