world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
1,-5.226841954488367,0,2,0.2,3,,,
2,-0.5069479661080115,0,1,0.4117647058823529,3,,,
3,-4.466442039647059,0,2,0.125,3,,,
4,-4.808094242561004,0,2,0.36363636363636365,3,0.6740600475551266,-0.384068806639366,0.19649523222132734
5,11.651655717156308,1,0,0.25,3,0.7203180529456585,-0.5995973215997219,0.18732476823031902
6,-4.989449098762981,0,3,0.5294117647058824,3,0.6269854151858734,-0.7173478621702928,0.1799662220936555
7,-4.4712473369784895,0,3,1.0,3,0.8084464462716943,-0.75366763446642,0.17761065713737323
8,-0.7552557438506261,0,2,0.5,3,0.8533120059967041,-0.8084250402450561,0.1718319272994995
9,-3.418031974421909,0,2,,3,0.6341038590017706,-0.9531318381428718,0.16195083156228066
10,-5.389813381793581,0,3,0.3108108108108108,3,0.7033534135613868,-0.9706770706532607,0.15570393738461963
11,0.6444675049213515,0,1,0.375,3,0.6397219316661358,-0.9971411636471749,0.14983386531472206
12,-3.2674710800913265,0,2,0.3088235294117647,3,0.46410021258518097,-1.03555487960577,0.1414452262967825
13,-3.106693499016581,0,2,0.3684210526315789,3,0.48082600623369215,-1.0835645592212677,0.1336042033135891
14,1.0058948217633787,0,1,0.23333333333333334,3,0.4327374635450542,-1.0536848813295365,0.12624915845692158
15,-0.5570107322608164,0,2,0.31333333333333335,3,0.3127856320515275,-1.0442824125289918,0.1193436772376299
16,-3.3017521228606435,0,2,0.35,3,0.40461022110655903,-1.0501952415704727,0.1128456500172615
17,-6.443445827652307,0,3,0.1875,3,0.3994193489150125,-1.046329779284341,0.10899320442457588
18,13.9307155505885,1,0,0.2391304347826087,3,0.32266344118863344,-1.0688669022917747,0.1053217874839902
19,2.8684737927040893,0,0,0.3076923076923077,3,0.4062580507621169,-1.074658794105053,0.09969568733125925
20,0.3102017382251609,0,1,0.18181818181818182,3,0.33344943951815365,-1.06644710034132,0.09438750989735127
21,1.4374916065788064,0,1,0.07142857142857142,3,0.31399699274450543,-1.053763407766819,0.08937665324658156
22,8.5469925703415,1,1,0.16666666666666666,3,0.30715527713298796,-1.1035770380496979,0.0846425237879157
23,1.465902262356564,0,1,0.2692307692307692,3,0.2833329139277339,-1.1671327105164528,0.08020132049918174
24,6.154874538472222,1,2,0.25,3,0.35521614051290923,-1.1969533392361231,0.07734028505427497
25,10.560579027269858,1,1,0.08333333333333333,3,0.35746298551559447,-1.1994934448599814,0.0745863801240921
26,14.313624757156271,1,0,0.2,3,0.4110551369935274,-1.2335241612792016,0.07070794697850942
27,10.52746110887857,1,1,0.4666666666666667,3,0.42695985205471515,-1.282589742541313,0.06708938565105199
28,14.423101392814601,1,0,0.0,3,0.3667291500791907,-1.283094445168972,0.06369122037664056
29,10.659172062902183,1,1,0.3076923076923077,3,0.3356446862593293,-1.323429854810238,0.060445997063070536
30,14.588450016495862,1,0,0.3235294117647059,3,0.3633218778669834,-1.3784078711271286,0.057367833778262135
31,14.485023647619235,1,0,0.1,3,0.333311987221241,-1.3733689203858375,0.05445904444903135
32,14.467732891120233,1,0,0.25,3,0.37783921089023353,-1.3309392353892326,0.05168018490076065
33,14.40347351093592,1,0,0.23076923076923078,3,0.34902543924748897,-1.2491576778888702,0.04904925020411611
