world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
1,-18.614668036977992,0,3,0.16666666666666666,3,,,
2,-17.835612188983063,0,3,0.36363636363636365,3,,,
3,-17.13109169652308,0,3,0.1875,3,,,
4,-17.98064310820263,0,3,0.125,3,,,
5,-21.04052901527007,1,0,0.6666666666666666,3,,,
6,-25.51622391251047,0,2,0.22727272727272727,3,,,
7,-16.619941398304324,0,3,0.16666666666666666,3,,,
8,-27.226335879864695,0,2,0.5,3,6.878247048092794,0.7310927664931817,0.19524104176442833
9,-45.66768733214807,0,0,0.22727272727272727,3,4.180254689566791,0.8839830759167672,0.1850543275475502
10,-22.110805545896184,0,2,,3,2.6908866937458513,1.0183729562163353,0.17451479114592075
11,-25.82361448669332,0,3,0.5,3,2.6357999339234084,1.1981356851756573,0.1664372346131131
12,-11.426568637956686,1,2,0.3,3,1.81372279983558,1.2707220068138636,0.1613544106818317
13,-25.973099898309695,0,3,0.22580645161290322,3,2.049595032352954,1.3151431865990162,0.1578574189916253
14,-34.41659648852319,0,3,0.15217391304347827,3,1.9182639722526074,1.4412325483560562,0.1542096020281315
15,-31.179778925096343,0,1,0.20689655172413793,3,1.6774542663246392,1.597953777909279,0.14782282568514346
16,-24.259031062764517,0,2,0.25,3,1.3127627081423998,1.7312467885017395,0.13982754155993463
17,-26.843914436901116,0,1,0.25,3,1.3277689182013273,1.8372969079017638,0.13227421410381793
18,-2.412793542981729,1,2,,3,1.0258184394292664,1.8600706301237409,0.1275981094753533
19,-10.721187574615783,1,2,0.5,3,1.2577142414537448,1.8312065103679027,0.12479677767429537
20,-1.805411648188855,1,2,0.0,3,1.0480734576520168,1.8018450078211332,0.12237817499982684
21,-4.719172460779422,1,2,,3,1.8313631907556995,1.90597381736293,0.12063754090305531
22,-17.668195754060086,1,0,0.0,3,1.5035807333141564,1.897469743490219,0.11637443885207176
23,6.735774585300624,2,0,0.5,3,1.3607426548004151,2.052361842393875,0.11045958764851094
24,6.150415053785276,2,0,0.6666666666666666,3,1.2160517647862434,1.9838851335644723,0.10506897535175085
25,4.156723857755431,2,0,0.5416666666666666,3,1.2004212940484285,1.9190825349092484,0.10005802690982818
26,2.3764065810259822,2,0,0.5,3,0.9592906499654055,1.7585955268144609,0.0954205559566617
27,-15.027625646808668,1,2,0.5625,3,1.1133317196120818,1.664605064317584,0.09119216601053874
28,0.6785596523432057,2,0,0.5,3,1.11431065261364,1.469808561205864,0.08725095581263304
29,-1.9942304717993184,1,2,0.25,3,1.3114125043787854,1.4167741828776421,0.08492958418866421
30,-1.8421788897510165,1,2,0.25,3,1.3870247213736824,1.238933725849442,0.08409592347300571
31,27.69733246865798,3,0,0.5,3,1.406793545844943,1.2878593081651732,0.08331151393263839
32,27.17656455532393,3,0,0.3333333333333333,3,1.5295956075191497,1.0387557534500957,0.0825827879831195
