world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents
1,-9.102574277441517,0,3,0.5,3
2,-7.434458892960307,0,3,0.3333333333333333,3
3,-2.2466998589101865,0,2,0.5,3
4,5.45815860565497,1,2,0.0,3
5,-7.7722412016419655,0,3,0.18181818181818182,3
6,-4.97186274202806,0,2,0.5,3
7,-7.536914234601148,0,3,0.0,3
8,-2.4497182730614906,0,2,0.0,3
9,-8.034822432909879,0,3,0.0,3
10,-6.436933690328452,0,3,0.6538461538461539,3
11,-6.450745769852298,0,3,0.42857142857142855,3
12,4.557896692493965,1,2,0.25,3
13,0.11294085244206979,0,1,0.4090909090909091,3
14,-3.467494129098551,0,2,0.4411764705882353,3
15,-2.5006409483560854,0,2,0.36666666666666664,3
16,-4.641415672985074,0,2,0.5769230769230769,3
17,2.6886600940050314,1,2,0.4444444444444444,3
18,-3.7125022150294633,0,2,0.6666666666666666,3
19,-6.145964145811657,0,3,0.3333333333333333,3
20,0.22199619457626593,0,1,0.5,3
21,5.103539347623786,1,2,0.0,3
22,-7.334880472938707,0,3,0.4166666666666667,3
23,-6.191805485068497,0,3,,3
24,-2.4835199921725666,0,2,0.625,3
25,-7.735027313601832,0,3,0.5,3
26,-2.6085769857452292,0,2,0.375,3
27,-7.156881972632399,0,3,0.5,3
28,5.106143323568387,1,2,0.42857142857142855,3
29,8.7605245843121,1,1,0.5357142857142857,3
30,4.672211617812282,1,2,0.5,3
31,2.8837641779680503,1,2,0.75,3
32,-6.413991530079126,0,3,0.25,3
33,-6.268971569968307,0,3,0.75,3
34,10.51400249629925,1,1,,3
35,-6.356885446993055,0,3,0.75,3
36,-6.8759119739045955,0,3,0.6111111111111112,3
37,-4.585178474277909,0,2,0.5,3
38,11.861319792409999,1,0,,3
39,-0.6968116954386682,0,0,0.35294117647058826,3
40,10.928219739131604,1,0,,3
41,11.45295192155608,1,0,0.2,3
42,-4.818022683437733,0,3,0.5,3
43,-6.242480884701816,0,3,0.6666666666666666,3
44,-2.225407188249565,0,2,0.2,3
45,11.014694439378793,1,0,0.125,3
46,5.137225397148225,0,0,0.0,3
47,4.908798999017208,0,0,0.2222222222222222,3
48,8.421633807734814,1,1,0.0,3
49,13.16766376222531,1,0,0.21428571428571427,3
50,16.071459043406435,2,1,,3
51,-7.0748399732602065,0,3,0.4090909090909091,3
52,6.767103141248978,1,1,0.35,3
53,8.311046813651169,1,1,,3
54,-6.932953073921399,0,3,0.4117647058823529,3
55,-6.812342331956116,0,3,0.34444444444444444,3
56,3.6520164875320593,1,2,0.375,3
57,18.978226938940235,2,0,0.16666666666666666,3
58,10.489396991657905,1,0,,3
59,-1.9038030008960793,0,2,0.5,3
60,8.7609871357447,1,1,0.375,3
61,7.051418237818818,1,1,0.75,3
62,11.135147627507974,1,0,0.14285714285714285,3
63,11.08811028347396,1,0,0.21428571428571427,3
64,-6.419625732930013,0,3,0.4166666666666667,3
65,21.703496009375424,2,0,0.2857142857142857,3
66,5.59996389541584,1,2,0.0,3
67,4.603771595461372,1,2,0.0,3
68,21.307803728241186,2,0,0.1,3
69,12.260850768457622,1,0,0.391304347826087,3
70,5.92751388471535,1,2,0.3333333333333333,3
71,16.94102549715309,2,1,0.25,3
72,28.62750278716859,3,0,,3
73,28.792294522956976,3,0,0.25,3
74,28.82423939215717,3,0,,3
75,28.47340897230964,3,0,,3
76,28.220152367892585,3,0,,3
77,10.161277594830617,1,1,,3
78,20.252830378122297,2,0,0.0,3
79,5.569904319334852,1,2,0.36666666666666664,3
80,28.66907952365951,3,0,,3
81,28.88876639346005,3,0,,3
82,-0.7501412228710059,0,1,,3
83,6.192862556483284,1,1,,3
84,-4.957327581287401,0,2,,3
85,-3.2663648908271345,0,1,0.25,3
86,-2.9001679729827963,0,1,,3
87,-5.96801849284518,0,2,0.5,3
88,-1.5801189909158193,0,2,0.3333333333333333,3
89,-2.8377244249516362,0,2,,3
90,18.318606761612664,2,0,,3
91,9.176332259485644,1,0,,3
92,-0.5772603854152264,0,1,,3
93,7.5048819128346915,1,1,,3
94,9.414471729495723,1,0,,3
95,-1.814142790407481,0,1,0.3076923076923077,3
96,18.36655414403462,2,0,,3
97,5.097377489984995,1,2,0.0,3
98,-0.7474541322620505,0,1,,3
99,17.901024708211775,2,0,0.5,3
100,-0.1648527492062688,0,0,0.1111111111111111,3
101,18.053145836290934,2,0,0.35294117647058826,3
102,-3.401010464090328,0,1,,3
103,-1.1486983062886902,0,0,0.5,3
104,6.141754544769196,0,0,0.15,3
105,28.28476493723517,3,0,,3
106,8.1754734882208,1,1,0.25,3
107,17.99254152600434,2,0,0.13636363636363635,3
108,9.985411506325493,1,1,,3
109,10.46643094900105,1,0,,3
110,5.05821440713897,1,2,0.16666666666666666,3
111,18.333117888924743,2,0,0.3125,3
112,10.009853512471192,1,0,0.07692307692307693,3
113,13.88458954616947,1,0,0.0,3
114,28.465743535370763,3,0,0.16666666666666666,3
115,21.458990824934986,2,0,0.0,3
116,28.245723754364363,3,0,0.0,3
117,18.978190480969584,2,0,0.2,3
118,28.466178800007977,3,0,,3
119,16.822256203284145,2,1,,3
120,16.782907409984286,2,1,,3
121,28.691976184455882,3,0,0.2,3
122,16.616913754112762,2,1,,3
123,18.392292605931406,2,0,0.19444444444444445,3
124,-1.8479146339204269,0,1,0.41025641025641024,3
125,17.30491075591461,2,0,,3
126,18.111460354422928,2,0,,3
127,-5.058062902388423,0,2,0.3333333333333333,3
128,18.02100642304794,2,0,,3
129,18.06424781974118,2,0,,3
130,6.129398330881698,1,1,,3
131,17.962124215054423,2,0,,3
132,18.111847144133446,2,0,,3
133,-4.156961988155583,0,1,,3
134,-0.40122402356203085,0,1,0.53125,3
135,17.952839105565587,2,0,,3
136,6.744783592829447,1,1,0.23076923076923078,3
137,18.037181943472053,2,0,,3
138,-3.534628401459141,0,2,0.375,3
139,-5.876491947702913,0,2,0.4642857142857143,3
140,18.95008800711526,2,0,,3
141,18.346760985632503,2,0,,3
142,18.583549636390302,2,0,,3
143,17.940352805181792,2,0,,3
144,18.195214561504955,2,0,,3
145,18.12502209558846,2,0,,3
146,18.73456522650329,2,0,0.6666666666666666,3
147,18.493760555038016,2,0,,3
148,18.646894787224294,2,0,,3
149,18.652892545926992,2,0,,3
150,18.968779613909874,2,0,,3
151,18.07534855013894,2,0,,3
152,6.815740408883304,1,1,0.23076923076923078,3
153,18.742569983255773,2,0,,3
154,18.548085517309122,2,0,,3
155,18.474238436883102,2,0,,3
156,18.978095541305795,2,0,,3
157,18.552949812975502,2,0,,3
158,7.2320553812809445,1,1,0.2,3
159,19.514717416617785,2,0,,3
160,18.855110947499057,2,0,,3
161,18.641057953661416,2,0,,3
162,-0.9301289084549221,0,1,,3
163,18.955678561349334,2,0,,3
164,18.503582476909575,2,0,,3
165,18.264964511842965,2,0,,3
166,19.182178022886642,2,0,,3
167,18.66672538068694,2,0,,3
168,18.580047125587672,2,0,,3
169,18.376805749202095,2,0,,3
170,18.424985854618782,2,0,,3
171,18.50768628925928,2,0,,3
172,18.635525221179492,2,0,,3
173,18.806458600468353,2,0,,3
174,18.688134639277266,2,0,,3
175,18.821452531042272,2,0,,3
176,19.13014722429609,2,0,,3
177,11.709858515552975,1,0,,3
178,19.647689441541957,2,0,,3
179,18.75785811075942,2,0,,3
180,10.884488238438024,1,0,,3
181,19.123564299998865,2,0,,3
182,18.577070779581195,2,0,,3
183,18.585872750817373,2,0,,3
184,7.283166566038436,1,1,,3
185,7.044351770027049,1,1,,3
186,8.157009647866463,1,1,,3
187,18.830140595508137,2,0,,3
188,19.59483803738627,2,0,,3
189,18.748861199133014,2,0,,3
190,18.822890538374725,2,0,,3
191,11.311412957756952,1,0,,3
192,16.191911292915147,2,1,,3
193,19.1351532642752,2,0,,3
194,19.110801664274653,2,0,,3
195,17.136399625245044,2,1,,3
196,18.729005529912058,2,0,,3
197,11.520814960308314,1,0,,3
198,18.218651215983837,2,0,,3
199,19.01143848603653,2,0,,3
200,18.81660189828608,2,0,,3
201,16.063512657079272,2,1,,3
202,18.762636582108858,2,0,,3
203,19.067378659660278,2,0,,3
204,18.37079168369477,2,0,,3
205,18.927586210608357,2,0,,3
206,19.548770906388324,2,0,,3
207,18.510474588867556,2,0,,3
208,11.322581142751952,1,0,,3
209,18.89511175346962,2,0,,3
210,18.587192022832152,2,0,,3
211,18.400657318726278,2,0,,3
