world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
1,-18.614668036977992,0,3,0.16666666666666666,3,,,
2,-17.85506549739482,0,3,0.3181818181818182,3,,,
3,-16.999685321306305,0,3,0.25,3,,,
4,-17.98064310820263,0,3,0.125,3,,,
5,-21.04052901527007,1,0,0.6666666666666666,3,,,
6,-25.49706704621396,0,2,0.22727272727272727,3,,,
7,-16.57467654477176,0,3,0.2777777777777778,3,,,
8,-27.151412927869284,0,2,0.5,3,6.880267998085746,0.7306265427341944,0.19524104459376274
9,-44.36150273597633,0,0,0.34375,3,4.18315929710865,0.8812789830565453,0.1850544986128807
10,-21.91818163824176,0,2,,3,2.6867977909743788,1.0157108813524247,0.1745097566395998
11,-22.506242390055615,0,2,0.5,3,2.4162133152037857,1.2324398991465568,0.16474077597260475
12,-26.752179848863374,0,2,0.16666666666666666,3,1.4491962280496955,1.466342046558857,0.15558966010808944
13,-4.810171621899731,1,2,,3,1.4447257787878833,1.5627395359437857,0.1497523713467726
14,-22.62197486610931,0,2,,3,1.4272762775421142,1.7247200906276703,0.1442035537958145
15,-34.86063804471839,0,3,,3,1.2632916515103039,1.789932990666502,0.13707092728303827
16,-18.42017340813643,1,0,0.35365853658536583,3,1.2022767527401448,2.001424966454506,0.13038247518241405
17,-1.1165885612064261,2,1,,3,1.108100946901775,2.127441950687548,0.12409896517127025
18,-11.580855597900415,1,2,0.25,3,1.34533676746137,2.2670240174321568,0.11929600340697695
19,2.072343764381339,2,1,,3,1.3807719834148884,2.223136628046632,0.1144197538572674
20,-14.083584126145206,1,0,0.125,3,1.2033244459331036,2.26892202436924,0.10906526926904916
21,-9.176411732168672,2,1,0.5,3,0.9855921858703935,2.187621313256103,0.10454488671445228
22,-2.1073990656064296,1,2,0.3125,3,1.2952030556542533,1.8428145930880593,0.10238022428183328
23,4.878234857591461,2,0,0.5,3,1.392402554154396,1.9635107710957527,0.09986214462667703
24,1.3684303888459144,2,0,0.16666666666666666,3,1.243574910312891,1.8442073774337768,0.09559369698166847
25,26.589108423774864,3,0,0.4444444444444444,3,1.246589987874031,1.7432612323760985,0.09307705417275429
26,26.769259003747845,3,0,0.2777777777777778,3,1.2003566476533998,1.7193585904139392,0.09207920209979112
27,26.531465315267795,3,0,0.3333333333333333,3,1.25951483498017,1.5204862425724666,0.09103906055291494
28,27.59680813098686,3,0,0.0,3,1.5212056738265016,1.3995092980405117,0.09007549698048449
29,27.372223231404103,3,0,0.3076923076923077,3,1.3965757742524147,1.2643022172152996,0.08932823669165373
30,13.410675324081879,2,1,0.21428571428571427,3,1.657102878888448,1.3065719813108445,0.08873205805818239
31,28.36673064125955,3,0,,3,1.3448618299820845,1.2288944703691147,0.08818803398924716
32,27.972328023733798,3,0,0.25,3,1.4841045036035425,1.1489222731222124,0.08759866545305532
33,25.38760336470193,3,0,0.25,3,1.3958322241686392,0.9123964592598487,0.08680126330126887
34,27.799552147489237,3,0,0.4375,3,1.3246438298374414,0.8959140514489263,0.08602197654545307
35,-1.9481746674314142,1,2,0.25,3,1.8372569769620894,0.80220863558352,0.08560610227286816
36,28.591183126604502,3,0,,3,1.775982330827152,0.6285048039520488,0.0851830813814612
