world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss
1,-18.614668036977992,0,3,0.16666666666666666,3,,
2,-17.835612188983063,0,3,0.36363636363636365,3,,
3,-17.13109169652308,0,3,0.1875,3,,
4,-17.98064310820263,0,3,0.125,3,,
5,-21.04052901527007,1,0,0.6666666666666666,3,,
6,-25.51622391251047,0,2,0.22727272727272727,3,,
7,-16.619941398304324,0,3,0.16666666666666666,3,,
8,-4.777729445147526,1,2,0.5,3,6.879637767095119,0.3243295691208914
9,-26.367485064673843,0,3,,3,6.38699943851046,0.35897628332756154
10,-33.11294114820064,0,3,,3,4.270519005134702,0.44975258766983944
11,-16.50170943559564,0,3,0.4117647058823529,3,4.28603531332577,0.4913033793369929
12,-5.253627290961674,1,2,0.26666666666666666,3,5.0750072366231445,0.5109986890303461
13,-31.829549331303454,0,3,0.43478260869565216,3,4.076000068808945,0.5512313386425376
14,-25.47079323011293,0,3,0.35185185185185186,3,3.9751779635747275,0.5704623447223143
15,-36.64523122695073,0,2,0.5,3,3.847261465191841,0.856083973273635
16,-36.54444176250806,0,3,0.32142857142857145,3,2.2965986494054187,1.0577325224876404
17,-27.29821694911931,0,3,0.37,3,2.677780644524665,1.083496371905009
18,-29.75809740644065,0,3,0.12903225806451613,3,2.4013037498323073,1.1037942310910167
19,-18.089431691434378,0,3,0.1,3,2.7921469596124466,1.3369973103205364
20,-19.441662012939606,0,3,0.22727272727272727,3,2.1094851084053516,0.9794077605009079
21,-15.53848945460144,1,2,0.3541666666666667,3,2.5925764923708305,1.2529931875566642
22,-30.70001178289381,0,3,0.0,3,2.2658711450503155,1.4226721025565092
23,-40.30853487477273,0,2,0.125,3,2.0364136622846125,1.4932845282554625
24,-7.846728592131073,1,2,0.4444444444444444,3,1.9416636351744334,1.5479102009221126
25,-29.18600872722823,0,2,,3,1.7792978803813457,1.6324977141618728
26,-32.30337343631599,0,2,0.5,3,1.5248652745783329,1.5648657834529878
27,-4.346961171338934,1,2,0.4444444444444444,3,1.590288469084987,1.7014971552071747
28,-15.556407647105287,1,1,0.8333333333333334,3,1.3586418868601322,1.680273585319519
29,-31.911662345164633,0,2,,3,1.191056207716465,1.696769887804985
30,-5.623825541073811,1,1,0.2,3,1.1121539057791232,1.626558015346527
31,5.710362865413763,2,1,0.0,3,1.1002893424270177,1.661534606218338
32,5.874436780652413,2,1,,3,1.0679670558483512,1.6648030192763716
33,-1.6811351039590907,1,2,0.4,3,0.8283443883061409,1.4535748958587646
34,1.5280019658605326,2,1,0.3333333333333333,3,1.1867633442600052,1.6818213145454208
35,10.036419538996073,2,0,0.2777777777777778,3,1.080478194952011,1.635584261417389
36,6.475364090860004,2,0,0.3181818181818182,3,1.0231108917295932,1.6274123081564904
37,11.459043933492035,2,0,,3,0.9790314182639122,1.6178696143627167
38,11.96953739260448,2,0,,3,0.9208866374194622,1.4552481818199157
