world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
33,21.956577522427537,2,0,0.4,3,1.3518186234682799,-1.339132460653782,0.10398275334388017
34,6.644414513518626,1,2,0.0,3,1.142192287246386,-1.5298001289367675,0.10113617827494939
35,29.37766944986259,3,0,0.2,3,0.9991940010677685,-1.5058329809795727,0.10011700743978674
36,29.34535904675086,3,0,0.3333333333333333,3,1.0382311089059053,-1.6958535808627888,0.09876777572652042
37,29.483177269226882,3,0,0.25,3,1.0864130459725856,-1.9104545742273331,0.09760680235922337
38,29.534921264951446,3,0,0.0,3,1.007590906273934,-1.8175876179049093,0.09678739693857008
39,29.593523667877065,3,0,0.0,3,1.3013365738319629,-2.0129257097388757,0.0960705867319396
40,29.57081999974888,3,0,0.375,3,1.0748126745223998,-2.1666143894195558,0.09536926920215288
41,29.428348799420366,3,0,0.0,3,0.9756480865180492,-2.0743487663567066,0.09469131822697818
42,29.559353973291625,3,0,0.5,3,1.03974767379901,-2.294363221701454,0.09399081744691905
43,29.55252392762732,3,0,0.18181818181818182,3,0.9093655161559582,-2.294096190482378,0.0932949201669544
44,29.36086049154962,3,0,0.0,3,0.8536009015515447,-2.6019031703472137,0.09245987546940644
45,29.451618416888195,3,0,0.125,3,1.0570975465159262,-2.6250981669272146,0.09165766066120516
46,18.15049091061874,2,1,0.0,3,0.9759015090042545,-2.819202446168469,0.09103770505997442
47,18.49150049682788,2,1,0.0,3,0.8886451908657628,-2.8086808343087473,0.09044363662119835
48,29.57260709383847,3,0,0.125,3,0.9951534271240234,-2.9058898857661655,0.08987687953880855
49,29.624443434426166,3,0,0.25,3,0.927044258585998,-2.972593443734305,0.08935006707906723
50,29.639031208294558,3,0,0.25,3,0.9729641501245827,-3.0693245756215064,0.08880246482018767
51,29.536629862245334,3,0,0.3333333333333333,3,0.9587347129980723,-3.091346104939779,0.08822359343369802
52,29.657244040524933,3,0,0.3,3,0.8373939514160156,-3.2560959498087567,0.0876438779135545
53,29.575480051574754,3,0,0.1,3,0.7930186887582144,-3.318942564505118,0.08710792108818337
54,29.67655452204914,3,0,0.3333333333333333,3,0.7717612673838933,-3.50191646416982,0.08658318469921748
55,29.495791140706846,3,0,0.25,3,1.0001375490221485,-3.5713731338237893,0.08603918398248739
56,29.662402233743553,3,0,0.1,3,0.7843425432840984,-3.7550533294677733,0.08549381444851557
57,29.679453882084687,3,0,0.0,3,1.0010624097453222,-3.806210199991862,0.08497525503238042
58,29.87217961875537,3,0,0.375,3,0.7105098510610646,-4.1028390424004915,0.0844771679619263
59,29.49049393571362,3,0,0.2,3,0.954532615840435,-4.111597810472761,0.08397886742438589
60,29.598797314211946,3,0,0.25,3,1.1287308305501937,-3.9926608641942343,0.08347347925106684
61,29.641631640478412,3,0,0.0,3,0.7134192543370383,-4.366480069501059,0.08297582290002278
62,29.70860048407218,3,0,0.125,3,0.8109473935488997,-4.491766239034718,0.08249384832793269
63,29.5531252142212,3,0,0.0,3,1.0172995185029918,-4.561260519356563,0.08201110337314935
64,29.755848227070754,3,0,0.5,3,0.8332621588789183,-4.522345838875606,0.08153616508533215
65,29.55356915477402,3,0,0.125,3,1.0608062698290899,-4.804929990034837,0.08108897134661674
66,29.511755878041146,3,0,0.25,3,0.9651484806090593,-4.789649352431297,0.08062644815072417
67,29.659438865559327,3,0,0.16666666666666666,3,0.8981166056224278,-4.862900137901306,0.08014001564255782
68,29.48262535573245,3,0,0.3333333333333333,3,1.1888851364453634,-4.968478425343831,0.07967106103897095
69,29.45681911134281,3,0,0.5,3,0.8194540530443192,-4.9554663817087805,0.07919020901123683
70,29.557960880605464,3,0,0.16666666666666666,3,0.8494323769520069,-5.35905201681729,0.07871657353023002
71,29.448721755818813,3,0,0.125,3,1.2882631599903107,-5.421489477157593,0.07826241726676623
72,29.568928299142016,3,0,0.25,3,0.9710504561662674,-5.553743632634481,0.0777990055580934
73,29.694228903272876,3,0,0.375,3,0.8789393233841863,-5.604307404879866,0.07735216643275886
74,29.550228901066472,3,0,0.4230769230769231,3,1.1199049970199322,-5.690093977697964,0.0769136560888126
75,29.533108783454356,3,0,0.25,3,1.2049867996463068,-6.041895813412136,0.0764852883639159
76,29.676053207840457,3,0,0.0,3,1.1536481401015972,-5.849840016200624,0.0760661201744244
77,29.529517271987817,3,0,0.16666666666666666,3,0.9333860498887522,-6.066623458155879,0.07566047377056545
78,18.3258547419079,2,1,0.0,3,1.048751587867737,-6.3419835662841795,0.07527981966733932
79,29.479836867456587,3,0,0.0,3,0.814899508295388,-6.124711233994057,0.07489378801707564
80,29.522217212640893,3,0,0.0,3,1.1933249920606612,-6.276820023854573,0.07446007182200749
81,18.350373747891208,2,1,0.4,3,0.8791084704191788,-6.667115563931673,0.07407379377147426
82,29.540226971402728,3,0,0.3333333333333333,3,1.0188098038945879,-6.537384561129978,0.0737177093646356
83,29.608310487446857,3,0,0.16666666666666666,3,1.1061330314340263,-6.515434593989931,0.07333465665578842
84,29.68382116740492,3,0,0.25,3,0.8876864570995857,-6.76386336622567,0.07293156560125022
85,29.55482754530477,3,0,0.0625,3,1.3137508809566498,-6.902223332722982,0.07254149094223976
86,29.596324591870953,3,0,0.0,3,1.0564463015260368,-7.149280959162219,0.07215766171956885
87,29.61372824459841,3,0,0.16666666666666666,3,1.2899034197988182,-7.203653746637805,0.07177049178501656
88,29.62297879075781,3,0,0.16666666666666666,3,1.3539929340283077,-7.244125922520955,0.07139693995316823
89,29.507353557763917,3,0,0.125,3,1.0449118151746948,-7.357507426163246,0.07100062945793414
90,29.517264285868134,3,0,0.0,3,1.181964279285499,-7.711694513048444,0.07061560398765973
91,29.476955598395474,3,0,0.16666666666666666,3,1.2750092579258814,-7.881999810536702,0.07024780108972832
92,29.50297795457753,3,0,0.3333333333333333,3,1.5916289623294557,-7.769417405128479,0.06988489920539516
93,29.504668975952963,3,0,0.3333333333333333,3,1.4378914763530095,-7.913291947046916,0.06952350214123726
94,29.516421649735033,3,0,0.25,3,1.1317744350859098,-8.150563495499748,0.0691772209746497
95,29.42426820485935,3,0,0.3,3,1.1059590300609325,-8.27744613844773,0.06882684523689336
96,18.144904494995654,2,1,0.0,3,0.8083465375282146,-8.269807956836841,0.06847363489645499
97,29.604321757037386,3,0,0.2857142857142857,3,0.9252591718887461,-8.638980092673465,0.06812589589891763
98,29.485601493617395,3,0,0.0,3,1.090735280088016,-8.615719301359993,0.06777650197701794
99,29.634425419464733,3,0,0.16666666666666666,3,1.3845342003873415,-8.570943628038679,0.06743189213531357
100,29.56408696791384,3,0,0.16666666666666666,3,1.1035826669798956,-9.079649589679859,0.0671159009690638
101,29.469635804691833,3,0,0.45,3,1.7307487620461373,-9.154428528201196,0.06676856332248257
102,29.45224554024455,3,0,0.2857142857142857,3,1.4678573567291786,-9.058701811165646,0.06641107181022907
103,29.44739599543929,3,0,0.2222222222222222,3,1.394797032698989,-9.250818565487862,0.06606629909947515
104,29.47448424434492,3,0,0.16666666666666666,3,1.1294251140207052,-9.71900025010109,0.06571070197969675
105,29.43604491674222,3,0,0.0,3,1.3376537850674461,-9.735590654260973,0.0653489648419268
106,29.39946708167515,3,0,0.18181818181818182,3,1.344463575270868,-9.838627661428143,0.06496073569982283
107,29.561614287798395,3,0,0.42857142857142855,3,1.183140331506729,-10.037160110473632,0.06463892956574759
108,29.464085367630947,3,0,0.0,3,1.2999359844504177,-10.37869254962818,0.06430019740317319
109,29.42739958115985,3,0,0.3,3,0.9436004326261324,-10.643374541710163,0.06396150974364116
110,29.466010627984968,3,0,0.16666666666666666,3,1.2506090700626373,-10.551155314725989,0.0636330891181441
111,29.453861296391583,3,0,0.16666666666666666,3,1.582147567502914,-10.850288452640656,0.06328846057576518
112,29.3829004298681,3,0,0.0,3,1.8470268784425197,-11.245248819008852,0.06291030996885055
113,29.434911973028075,3,0,0.3333333333333333,3,1.1452018192836217,-11.454876463753836,0.06254846464310373
114,29.427785439621886,3,0,0.0,3,1.106611154973507,-11.693010720339688,0.06219096050005068
115,29.39277712503274,3,0,0.0,3,1.4552024528384209,-11.591954380273819,0.061812815140001476
116,29.4211269779467,3,0,0.0,3,1.1807220135674332,-11.866136579802543,0.061505920056140785
117,29.398757496238193,3,0,0.16666666666666666,3,1.296609117372616,-12.229752824113175,0.06115763221640844
118,29.36804857910093,3,0,0.25,3,1.1374353075899728,-12.418095216518495,0.06077411761734544
119,29.396527364028557,3,0,0.25,3,1.6837790434559186,-12.829127020306057,0.06041145355751117
120,29.307935618094195,3,0,0.3333333333333333,3,1.3313355477792876,-12.99615296295711,0.05991239832448108
121,29.39369993342682,3,0,0.25,3,1.3171773772490651,-13.157691026988783,0.059410890956458295
122,29.396276259138023,3,0,0.16666666666666666,3,1.2931832014159723,-13.284961678765036,0.058965910226106644
123,29.477951138737847,3,0,0.5,3,1.5045751585410192,-13.511267906580215,0.058544700439923845
124,29.3706336061184,3,0,0.0,3,1.4563577638732061,-13.887889268663194,0.05811177260345883
125,29.397064708335893,3,0,0.5,3,1.0926358746157752,-13.979262606302898,0.057626728630728194
126,29.468902979511185,3,0,0.16666666666666666,3,1.182654965214613,-14.464662133193597,0.057231301396358306
127,29.422162621026647,3,0,0.25,3,1.0965119230024742,-14.457780057733709,0.05688870788523645
128,29.48664753394539,3,0,0.25,3,1.6011663927481725,-14.90130932514484,0.05651142061329805
129,29.419566134074334,3,0,0.16666666666666666,3,1.6650989688932896,-15.117113876342774,0.05611413037404418
130,29.431923219421577,3,0,0.0,3,1.528157482755945,-15.37851627836836,0.0556709423185663
131,29.536024588318757,3,0,0.0,3,0.9470065200328827,-15.505590515136719,0.05517435222864151
132,29.533928365167835,3,0,0.0,3,1.0878422996219324,-16.064403845339406,0.05464859428454419
133,29.420916228559083,3,0,0.0,3,1.4520894517732221,-16.149176508881325,0.05409446687892426
134,29.41421423030754,3,0,0.16666666666666666,3,1.4950403154660494,-16.265476789229954,0.05360042332456662
135,29.476257764381472,3,0,0.25,3,1.1207026472936075,-16.582023918628693,0.05308864785668751
136,29.4586257285462,3,0,0.16666666666666666,3,1.4774004114525658,-16.856653349740164,0.05257654881903103
137,29.502191763317512,3,0,0.25,3,1.4292263239622116,-17.040796827386927,0.05202210115061866
138,29.33786657529207,3,0,0.0,3,1.2766146755644254,-17.4070520060403,0.05139359426019447
139,29.482086679133214,3,0,0.0,3,1.566566504336692,-17.462644319276553,0.050836257233813
140,29.366758870691076,3,0,0.5,3,0.7002984517812729,-17.823813552856446,0.05028754122555256
141,29.381697463844024,3,0,0.16666666666666666,3,0.8195151560332464,-17.933516751164976,0.049701552919071655
142,29.5320688868352,3,0,0.16666666666666666,3,1.2521768378656963,-18.320854408796443,0.04913114357826322
143,29.44022534587943,3,0,0.3333333333333333,3,0.9001338800063005,-18.498991012573242,0.048600282620739295
144,29.416905357499655,3,0,0.5,3,0.9853053021210211,-18.547619077894424,0.04799957649299392
145,29.69472052253228,3,0,0.0,3,1.1914532446500026,-18.853744969223484,0.04738598881345807
146,29.57749203213486,3,0,0.0,3,1.0931483664682933,-18.902493286132813,0.046963085659912654
147,29.48594434515357,3,0,0.16666666666666666,3,1.580380511470139,-18.981588304042816,0.0465049659833312
148,29.50459622273334,3,0,0.3333333333333333,3,1.0888810932636261,-19.085774612426757,0.04606296544273694
