seed,overall_goal_rate_pct,overall_collision_rate_pct,overall_colreg_rate_pct,last20_goal_rate_pct
1,77.38888888888889,21.722222222222218,38.71213585671397,100.0
2,85.33333333333333,13.944444444444441,40.14323770049971,100.0
3,88.55555555555556,11.055555555555554,50.74562249241013,100.0
