world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss
1,8.264811267449632,1,1,,3,,
2,-7.00859752744469,0,3,0.5,3,,
3,-4.456932769268955,0,2,,3,,
4,-4.428959585566905,0,2,0.2,3,,
5,-6.420016521720193,0,3,,3,1.03771332014612,-0.3019101403298832
6,2.715971208013814,1,2,0.43333333333333335,3,1.4240183280780911,-0.25303525816310535
7,-6.347856574470831,0,3,0.25,3,1.0690346598117189,-0.2898490076715296
8,-7.78534342152934,0,3,0.0,3,1.573550023837015,-0.2904432402657611
9,-7.844379871066724,0,3,,3,1.3710304175104413,-0.2299957482351197
10,-3.640870781874595,0,2,0.0,3,1.1508691643178464,-0.1584224491007626
11,-8.04143368319268,0,3,,3,0.863157449696941,-0.18989309471447108
12,5.099704922727477,1,2,,3,0.8313250278051083,-0.22230438045833423
13,-2.6686553270149607,0,2,0.5909090909090909,3,0.7413431511819363,-0.21970388050191103
14,14.6487496011812,1,0,0.4,3,0.5572012451477348,-0.27941978103481235
15,-0.9638322946505564,0,2,0.5833333333333334,3,0.515160199329257,-0.39193395506590606
16,-1.1953508456196926,0,2,0.3,3,0.30734746139496566,-0.36446398284286263
17,6.731365051888216,1,2,0.2222222222222222,3,0.2785360130667687,-0.30960815368841094
18,6.719359188599781,1,2,0.4,3,0.2807102780789137,-0.3319038754949967
19,-4.67807514498361,0,3,0.6666666666666666,3,0.6710373155772686,-0.4177029602229595
20,6.475567172170898,1,2,0.25,3,0.4300011072646488,-0.37252478168479036
21,6.566955811758746,1,2,0.5,3,0.49595131897009337,-0.48246389627456665
22,-4.690555352626737,0,3,0.26666666666666666,3,0.6603946638457915,-0.40111986441271646
23,6.4648593877408205,1,2,0.25,3,0.3830018921196461,-0.3119648040086031
24,-4.875446060142058,0,3,0.3333333333333333,3,0.4639120023697615,-0.29630614519119264
25,-5.071353245224741,0,3,0.2777777777777778,3,0.4070722663249725,-0.2564940134063363
26,5.627913456432165,1,2,0.6,3,0.4158294049422603,-0.37488566264510154
27,5.798725944958476,1,2,0.16666666666666666,3,0.40146629918705334,-0.4868898684425013
28,5.745601272850522,1,2,0.2413793103448276,3,0.44632221252288456,-0.3530547540061749
29,3.860507953677093,1,2,0.22033898305084745,3,0.41896848208976517,-0.32893422035029135
30,5.966041508446234,1,2,0.25,3,0.39345056327377875,-0.06891242153942585
31,11.194335540260392,1,0,0.42660550458715596,3,0.4158388914167881,-0.15237216137349605
32,11.40356235690082,1,0,0.2916666666666667,3,0.37271503131836653,-0.1244519529864192
33,11.033984124397122,1,0,0.25,3,0.3462898859754205,-0.19448987908661367
34,11.175462614349511,1,0,0.4,3,0.31189063750207424,-0.26009829603135587
35,29.130001182557248,3,0,,3,0.2543618825845199,-0.23947571802373027
36,28.79462752126339,3,0,0.4,3,0.3244193087545981,-0.40836828406900166
37,29.31700821512276,3,0,0.5,3,0.262918017196412,-0.4990361401317071
38,11.19623790762852,1,0,0.4444444444444444,3,0.3253005378320813,-0.6122328546270728
39,15.884967068466802,2,1,0.3333333333333333,3,0.30468782041317377,-0.718679745586551
40,28.992276788626327,3,0,0.2857142857142857,3,0.2967845236084291,-0.7063173676974007
41,28.860560589138895,3,0,0.32142857142857145,3,0.28855937408457555,-0.8180306791395381
42,29.3137023514636,3,0,0.6,3,0.34125125679102813,-0.9405528935519132
43,29.258580735337997,3,0,0.2857142857142857,3,0.4715877466455654,-1.167678928485623
44,29.41606666699975,3,0,1.0,3,0.40562721060381995,-1.2212160216437447
45,29.380487352855912,3,0,0.45454545454545453,3,0.3866871284677627,-1.294198195350931
46,18.23114760969276,2,1,0.3333333333333333,3,0.4360663811525991,-1.5492676006209465
47,29.364920341876115,3,0,0.34615384615384615,3,0.5426366444093635,-1.5609055246625627
48,29.554849154359573,3,0,0.6,3,0.5535855091769587,-1.7389804084192624
49,29.458567662702603,3,0,1.0,3,0.4463332602902064,-1.6640755880263545
50,29.48256021819952,3,0,0.6666666666666666,3,0.47305703352034933,-1.8794593794478311
51,29.631589484827362,3,0,0.2222222222222222,3,0.4392739519721172,-1.7326370179653168
52,29.3821258211883,3,0,0.4166666666666667,3,0.5248042935574496,-2.194095077338042
53,29.286035032385797,3,0,0.45454545454545453,3,0.5580587865012449,-2.292990588560337
54,29.52293777997839,3,0,1.0,3,0.5178440870451075,-2.416504736457552
55,16.810627423851475,2,1,0.7142857142857143,3,0.5310509436660342,-2.4403417732404624
56,29.32401296958623,3,0,0.45454545454545453,3,0.5183959896281615,-2.506402517187184
57,29.427639823907622,3,0,0.5,3,0.6761712967826609,-2.585476858862515
58,16.705396925789767,2,1,0.38461538461538464,3,0.5336425376904977,-2.492404692702823
59,16.70472342727689,2,1,0.3333333333333333,3,0.600909911096096,-2.645805201747201
60,29.436737380016638,3,0,0.375,3,0.5478626226003354,-2.523301431765923
61,29.469039809380604,3,0,0.4666666666666667,3,0.5935110562252548,-2.8140664056495384
62,16.82821459428356,2,1,0.36363636363636365,3,0.7114638922845616,-2.9965183033662686
63,6.6736757947661784,1,2,0.5,3,0.8887447633526542,-3.003988493572582
64,16.729442356446906,2,1,0.6666666666666666,3,0.6561589702963829,-2.661403352022171
65,16.74451121798578,2,1,0.45454545454545453,3,0.6134315308402566,-3.035660575417911
